id,nummer_alt,nummer_neu,aufstellungsort,brunnenart,bauart,epsg31255_x,epsg31255_y,lon,lat,in_betrieb,trinkwasser,wasseranalyse,steuerung,elektrik,pumpe,beleuchtung,wassermenge_sammelbecken,lage_brunnentechnik,lage_wasserzaehler,wasserzaehler_epsg31255_x,wasserzaehler_epsg31255_y,wasserzaehler_lon,wasserzaehler_lat,lage_e_schaltschrank,lage_stromzaehler,bemerkung,betriebszeit,frostschutz_wasserzaehler_ausgebaut
brunnen_tb54,B93,TB54,Spielplatz Marktmühlgasse gegenü. Markrtmühlg.5,Trinkbrunnen,Ziehbrunnen,73886.691,345705.972,14.32737123,48.24535249,true,true,true,Hydraulik Druckminderer,keine,keine,keine,keine,Schacht ca. 8 m südlich vom Brunnen neben Weg,Schacht ca. 8 m südlich vom Brunnen neben Weg,73891.506,345701.685,14.32743530,48.24531338,keine,,Auf System Druckminderer umgebaut 09.2008,keine Angabe,Ja
brunnen_tb56,B94,TB56,Eingang Hummelhofwald,Trinkbrunnen,Ziehbrunnen,71275.134,349037.611,14.29277262,48.27560790,true,true,true,Hydraulik Druckminderer,keine,keine,keine,keine,,,,,,,keine,,,keine Angabe,
brunnen_tb57,B95,TB57,Stadtpark gegnüber Huemerstr.3,Trinkbrunnen,Auslauf,71638.905,352365.416,14.29823468,48.30549004,true,true,true,Druckknopf,keine,keine,keine,keine,,Schacht neben Brunnen,71642.9,352363.891,14.29828827,48.30547588,keine,,,keine Angabe,
brunnen_tb58,B96,TB58,Ecke Kaisergasse Untere Donaulände,Trinkbrunnen,Hydrant,71193.185,352768.945,14.29229501,48.30916860,true,true,true,Federrückstellung,keine,keine,keine,keine,Schacht neben Brunnen,Schacht neben Brunnen,71194.327,352769.666,14.29231052,48.30917495,keine,,,keine Angabe,Ja
brunnen_tb59,B97,TB59,Lonstorfer Platz,Trinkbrunnen,Hydrant,72826.823,351049.7,14.31401947,48.29352438,true,true,true,Federrückstellung,keine,keine,keine,keine,,Gemeinsamer Wasserzähler mit dem Zierbrunnen Lonstorferplatz Schacht ca. 40 m südöstlich vom Brunnen,72848.685,351039.937,14.31431238,48.29343409,,,,keine Angabe,
brunnen_tb60,,TB60,A7 Überplattung Bindermichl Nord bei Kopernikusstr,Trinkbrunnen,Auslauf,71457.239,348944.905,14.29521002,48.27475387,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Wasserzähler in Schacht vor Haus Hanuschstr. 80 Zähler für gesamte Ringleitung Bereich NORD,71415.365,348954.776,14.29464763,48.27484733,keine,keine,,keine Angabe,
brunnen_tb61,,TB61,A7 Überplattung Bindermichl Nord Rampe Nord,Trinkbrunnen,Auslauf,71465.007,348819.781,14.29529359,48.27362790,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Wasserzähler in Schacht vor Haus Hanuschstr. 80 Zähler für gesamte Ringleitung Bereich NORD,71415.365,348954.776,14.29464763,48.27484733,keine,keine,,keine Angabe,
brunnen_tb62,,TB62,A7 Überplattung Bindermichl Süd bei Skaterplatz,Trinkbrunnen,Auslauf,71464.422,348534.791,14.29523775,48.27106538,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Wasserzähler in Schacht neben Haus Weinheberstr. 2 Parkeingang Glimpfingerstr. Zähler für gesamte Ringleitung Bereich SÜD,71544.181,348463.521,14.29630002,48.27041557,keine,keine,,keine Angabe,
brunnen_tb63,,TB63,A7 Überplattung Bindermichl Süd Parkeingang Glimpfingerstr.,Trinkbrunnen,Auslauf,71508.361,348434.691,14.29581271,48.27016036,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Wasserzähler in Schacht neben Haus Weinheberstr. 2 Parkeingang Glimpfingerstr. Zähler für gesamte Ringleitung Bereich SÜD,71544.181,348463.521,14.29630002,48.27041557,keine,keine,,keine Angabe,
brunnen_tb64,,TB64,A7 Überplattung Bindermichl Süd Wasserspielplatz,Trinkbrunnen,Auslauf,71479.674,348360.606,14.29541386,48.26949742,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Wasserzähler in Schacht neben Haus Weinheberstr. 2 Parkeingang Glimpfingerstr. Zähler für gesamte Ringleitung Bereich SÜD,71544.181,348463.521,14.29630002,48.27041557,keine,keine,,keine Angabe,
brunnen_tb65,,TB65,A7 Überplattung Bindermichl Süd Wasserspielplatz,Bachlauf,Bachlauf,,,,,true,true,false,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Wasserzähler in Schacht neben Haus Weinheberstr. 2 Parkeingang Glimpfingerstr. Zähler für gesamte Ringleitung Bereich SÜD,,,,,keine,keine,,,
brunnen_tb66,,TB66,A7 Überplattung Bindermichl Süd Wasserspielplatz,Trinkbrunnen,Bogenauslauf,71482.779,348363.898,14.29545623,48.26952667,true,true,true,Druckknopf,keine,keine,keine,keine,Schacht neben Brunnen,Wasserzähler in Schacht neben Haus Weinheberstr. 2 Parkeingang Glimpfingerstr. Zähler für gesamte Ringleitung Bereich SÜD,71544.181,348463.521,14.29630002,48.27041557,keine,keine,,keine Angabe,
brunnen_tb67,,TB67,A7 Überplattung Bindermichl Süd Wasserspielplatz,Trinkbrunnen,Ziehbrunnen,71485.455,348353.12,14.29549046,48.26942946,true,true,true,Hydraulik Druckminderer,keine,keine,keine,keine,Schacht neben Brunnen,Wasserzähler in Schacht neben Haus Weinheberstr. 2 Parkeingang Glimpfingerstr. Zähler für gesamte Ringleitung Bereich SÜD,71544.181,348463.521,14.29630002,48.27041557,keine,keine,Auf System Druckminderer umgebaut 04.2011,keine Angabe,
brunnen_tb68,,TB68,A7 Überplattung Bindermichl Süd Wasserspielplatz,Fontänenhüpfer,Fontänenhüpfer,,,,,true,true,false,Hydraulik,keine,keine,keine,keine,Schacht neben Brunnen,Wasserzähler in Schacht neben Haus Weinheberstr. 2 Parkeingang Glimpfingerstr. Zähler für gesamte Ringleitung Bereich SÜD,,,,,keine,keine,,,
brunnen_tb69,,TB69,Solar City Zentrum Lunaplatz,Trinkbrunnen,Auslauf,76320.947,347126.239,14.36039633,48.25783592,true,true,true,Druckknopf,keine,keine,keine,keine,Tiefgarage bei Brunnentechnik,Tiefgarage bei Brunnentechnik Kein LinzAG Zähler,,,,,keine,,In den Zierbrunnen sind zwei Trinkwasserspender in Form von Druckknöpfen integriert,keine Angabe,
brunnen_tb70,,TB70,Solar City Wasserspielplatz,Bachlauf,Bachlauf,,,,,true,true,false,Magnetventil Sensor berührungslos,ja,keine,keine,keine,Schacht neben Brunnen,Schacht in der Wiese ca 50 m südlich vom Brunnen,,,,,Freiluftkasten ca. 200 m westlich vom Brunnen,,,,
brunnen_tb71,,TB71,Solar City Wasserspielplatz,Trinkbrunnen,Ziehbrunnen,76443.704,347436.068,14.36210503,48.26060707,true,true,true,Hydraulik Druckminderer,keine,keine,keine,keine,Schacht neben Brunnen und Schacht vom Bachlauf,Schacht in der Wiese neben Gehweg ca 100 m südlich vom Brunnen,76417.189,347364.963,14.36173519,48.25997090,noch offen,,Achtung! Zweiter Schacht mit Entleerung in der Wiese neben Beleuchtungsmast ca. 70 m südlich vom Brunnen,keine Angabe,
brunnen_tb72,,TB72,Herbert-Bayer-Platz (Prunerstr.),Trinkbrunnen,Auslauf,71168.938,352500.422,14.29192309,48.30675681,true,true,true,Druckknopf,keine,keine,keine,keine,Im Wasserzähler schacht,ca. 15 m südöstlich vom Brunnen,71169.498,352487.586,14.29192848,48.30664133,keine,keine,,keine Angabe,
brunnen_tb73,,TB73,Heilhamerpark ca. 250 m südlich Parkeingang Leonfeldnerstr. 66,Trinkbrunnen,Auslauf,70854.203,354582.457,14.28802918,48.32551323,true,true,true,Druckknopf,keine,keine,keine,keine,Im Wasserzähler schacht,Schacht neben Brunnen,70853.063,354583.49,14.28801398,48.32552265,keine,keine,Kosten für Wasser und Kanal werden von der Linz AG bezahlt; keine Verrechnung über SGL,keine Angabe,
