id,nummer,art,name,epsg31255_x,epsg31255_y,lon,lat,barrierefrei,eurokey,oeffnungszeiten,wickeltisch,wintersperre,anmerkung
wc_13,13,ohne Personalbesetztung,Lentos Kunstmuseum,70871,352657,14.28793353,48.30819803,true,true,08:30 - 22:30,false,nein,
wc_14,14,ohne Personalbesetztung,Munschgasse,72253,347636,14.30570621,48.26289452,true,true,06:00 - 22:00,false,nein,
wc_15,15,ohne Personalbesetztung,Negrelliweg,70721,346429,14.28487406,48.25221341,true,false,05:00 - 21:00,false,Nov - März,
wc_16,16,ohne Personalbesetztung,Neues Rathaus,70514,352817,14.28314821,48.30967645,true,false,gebunden an Öffnungszeiten Neues Rathaus,true,nein,
wc_17,17,ohne Personalbesetztung,Pöstlingberg,68738,354548,14.25948982,48.32543602,true,false,05:00 - 21:00,false,nein,
wc_18,18,ohne Personalbesetztung,Promenade,70759,352185,14.28634511,48.30396638,true,true,05:00 - 22:00,true,nein,
wc_19,19,ohne Personalbesetztung,Sonnensteinstraße,70521,353122,14.28329332,48.31241818,false,false,"Mo - Fr 08:00 - 22:00 Sa, Ftg 10:00 - 22:00 So 10:00 - 15:00",false,nein,
wc_20,20,ohne Personalbesetztung,Steinmetzplatz,70219,352624,14.27913985,48.30797370,true,true,06:00 - 24:00,true,Nov - März,"Benutzungsgebühr € 0,50,--"
wc_21,21,ohne Personalbesetztung,Unionkreuzung,71584,350687,14.29721133,48.29040424,true,true,05:00 - 21:00,false,nein,
wc_22,22,ohne Personalbesetztung,Urfahrmarkt,70823,353102,14.28736092,48.31220474,true,true,05:00 - 24:00,false,nein,"bei Urfahrmarkt Benutzungsgebühr € 0,50,--"
wc_23,23,mit Personalbesetztung,Volksgarten,71168,351302,14.29170928,48.29598092,true,true,November - März 06:00 - 17:00 April - Oktober 06:00 - 21:00,false,nein,"Mo - Sa stundenweise besetzt Bei Personalbesetzung Benutzungsgebühr € 0,50,--"
wc_24,24,ohne Personalbesetztung,Werndlstraße,71414,348624,14.29457362,48.27187320,true,true,05:00 - 22:00,false,nein,
wc_25,25,ohne Personalbesetztung,Ziegeleistraße,70650,350625,14.28461615,48.28995123,true,true,05:00 - 22:00,false,nein,
wc_26,26,ohne Personalbesetztung,Bahnhof Ebelsberg,75355,346501,14.34727866,48.25232906,true,true,05:00 - 22:00,true,nein,
wc_27,27,ohne Personalbesetztung,Heilhamerweg 2s,71267,353823,14.29346727,48.31863816,true,true,wie Öffnungszeiten Imbissstand,false,nein,
wc_28,28,Externe Betreung (Severin Stiftung),Domplatz,70820,351805,14.28710377,48.30054269,true,true,07:00 - 21:00,true,nein,"Benutzungsgebühr € 0,50,--"
wc_29,29,in Volkshäuser,Volkshaus Auwiesen,72483,346170,14.30855355,48.24968632,true,false,gebunden an Öffnungszeiten Volkshaus,true,,
wc_30,30,in Volkshäuser,Volkshaus Bindermichl,71080,348748,14.29009564,48.27302560,true,false,gebunden an Öffnungszeiten Volkshaus,true,,
