id,FIRMA,Adresse,PLZ,Stadt,Marke/Hersteller,Standort,quell_lat,quell_lon,lat,lon,koordinatenstatus
defi_40f95e397c7df5671ad9,Oberösterreichische Landesbank AG,Landstraße 38,4010,Linz,Lifepak CR+,"Infoschalter Mozartkreuzung,",48.30137000000000,14.29020100000000,48.30137000000000,14.29020100000000,plausibel
defi_6359551246c8fb5575e7,OÖ Energiesparverband,Landstraße 45/5,4020,Linz,Lifepak CR+,5. Stock,48.30034100000000,14.29136600000000,48.30034100000000,14.29136600000000,plausibel
defi_2ea42a9328de5cfa39fe,JOSEF Linz - Günter W. Hager,Landstraße 49,4020,Linz,Heartstart HS1,Hinter d. Bar,48.29977700000000,14.29145600000000,48.29977700000000,14.29145600000000,plausibel
defi_0ff2195e5ca5a121b86f,Apotheke Schillerplatz KG,Landstraße 70,4020,Linz,Lifepak Express,Hinter Türe zwischen Verkauf und Backoffice,48.30215000000000,14.29081700000000,48.30215000000000,14.29081700000000,plausibel
defi_397e75b752889a87422a,Helvetia Versicherungen AG,Landstraße 86,4020,Linz,Lifepak CR+,Eingang rechts,48.29622100000000,14.29174300000000,48.29622100000000,14.29174300000000,plausibel
defi_b5f1eaa09baf942052c7,WEG Lastenstraße 38/City Tower 1,Lastenstraße 38,4020,Linz,Lifepak CR+,"6.-7 City Tower 1 Kasten versperrt Schlüssel abholen bei Hr. Hajnerl (Haus&Grund GesmbH, Südtirolerstraße 5, 4020 Linz)",48.29130000000000,14.30490000000000,48.29130000000000,14.30490000000000,plausibel
defi_f60f5fe1d6229ecf22d7,Caritas für Betreuung und Pflege - Seniorenwohnhaus St. Anna,Leondingerstraße 22,4020,Linz,Heartstart FRx,Eingang links,48.29158500000000,14.26905300000000,48.29158500000000,14.26905300000000,plausibel
defi_581c4a8f3e9523510907,OÖLKUF,Leonfeldnerstraße 11,4041,Linz,Lifepak CR+,Empfang EG,48.31868300000000,14.28305000000000,48.31868300000000,14.28305000000000,plausibel
defi_7f2c97e92d68890dae4a,Lonstorferplatz Vermögensverwaltung GmbH,Lonstorferplatz 1,4020,Linz,Lifepak CR+,"Pro Mente, 3 Stock, Wartebereich Personaladministration",48.29357600000000,14.31375300000000,48.29357600000000,14.31375300000000,plausibel
defi_2eaabbe30e7df66e60ea,"Konvent der barmherzigen Brüder, SH Franziskusschwestern",Losensteinstraße 8,4020,Linz,Heartstart FRx,,48.27647000000000,14.28203000000000,48.27647000000000,14.28203000000000,plausibel
