id,quell_id,name,katastralgemeinde,beschreibung,detail_url,benannt_nach,person_wikidata_id,weitere_person_wikidata_ids,person_wikidata_url,person_name,person_geschlecht,person_beruf,person_geburtsdatum,person_sterbedatum,heutiger_strassenname,benennung_code,jahr_benennung,jahr_loeschung
strasse_historisch_1893,1893,Hummelfeldstraße,St. Peter,"Von der Wahringerstraße zur ehemaligen Zizlauer Straße verlaufend. Benannt 1929 nach einem Flurnamen. Aufgelassen ca. 1964, da nicht mehr vorhanden.",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1893&hist=historisch,,,,,,,,,,,X,1929,ca. 1964
strasse_historisch_1939,1939,Im Baumgarten,Linz,"Bezeichnung im Spätmittelalter, heute Promenade",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1939&hist=historisch,,,,,,,,,,Promenade,X,Spätmittelalter,Spätmittelalter
strasse_historisch_1948,1948,Im Industriepark,Pichling,siehe Im Südpark,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1948&hist=historisch,,,,,,,,,,Im Südpark,X,1990,
strasse_historisch_1956,1956,Im Wörd,Linz,"Die Gegend zwischen Nibelungenbrücke und Holzstraße hieß ursprünglich Im Wörd (Wörth Insel), heute Untere Donaulände",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1956&hist=historisch,,,,,,,,,,Untere Donaulände,X,,
strasse_historisch_1957,1957,Immelmannstraße,Waldegg,"Von 1942 bis 1945 nach dem Kampfflieger des Ersten Weltkrieges Max Immelmann (1890-1916), heute Teuflstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1957&hist=historisch,Max Immelmann,Q57937,,https://www.wikidata.org/wiki/Q57937,Max Immelmann,male,aircraft pilot,1890-09-21,1916-06-18,Teuflstraße,M,1942,1945
strasse_historisch_1959,1959,In der Arschgarben,Linz,"Jener Teil der heutigen Adlergasse, der zwischen Neutorgasse und dem Ende der Sackgasse liegt, hieß um 1800 In der Arschgarben bzw. Arschkerben.",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1959&hist=historisch,,,,,,,,,,Adlergasse,X,um 1800,
strasse_historisch_1962,1962,In der Harrach,Linz,Um 1800 Bezeichnung für die heutige Harrachstraße,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1962&hist=historisch,,,,,,,,,,Harrachstraße,X,um 1800,
strasse_historisch_1966,1966,In der Popperleiten,Linz,"Um 1825 Bezeichnung für die Gegend des heutigen Taubstummeninstitutes, heute Kapuzinerstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1966&hist=historisch,,,,,,,,,,Kapuzinerstraße,X,um 1825,
strasse_historisch_3400,3400,Innere Wurmstraße,Linz,Bis 1869 Bezeichnung für die heutige Stifterstraße,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=3400&hist=historisch,,,,,,,,,,,X,um 1800,1869
strasse_historisch_1764,1764,Jesuitergasse,Linz,"Von 1644 bis 1710 nach der benachbarten Jesuitenkirche, heute Domgasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1764&hist=historisch,,,,,,,,,,Domgasse,X,1644,1710
