id,quell_id,name,katastralgemeinde,beschreibung,detail_url,strasse_wikidata_id,strasse_wikidata_url,benannt_nach,person_wikidata_id,weitere_person_wikidata_ids,person_wikidata_url,person_name,person_geschlecht,person_beruf,person_geburtsdatum,person_sterbedatum
strasse_2532,2532,Minnesängerplatz,Waldegg,Als Fortsetzung der Händelstraße und zur Wallnerstraße. Benannt 1945 nach den Minnesängern. - 1940 Herbert-Norkus-Platz nach dem HJ-Führer Herbert Norkus (gest. 1932).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2532,,,,,,,,,,,
strasse_2533,2533,Mittelgasse,Urfahr,Nach dem Objekt Schratzstraße 6 etwa in westsüdwestlicher Richtung zur Gußhausgasse verlaufend. Benannt 1894. Der Name erklärt sich wohl aus der Lage der Gasse etwa in der Mitte zwischen Rudolfstraße und Ottensheimer Straße.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2533,,,,,,,,,,,
strasse_2535,2535,Mitterbauerweg,Waldegg,"Von der Thürheimerstraße in nördlicher Richtung verlaufende Sackgasse. Benannt 1994 nach Karl Mitterbauer (1894-1967), Vizebürgermeister der Stadt Linz von 1946 bis 1955.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2535,,,Karl Mitterbauer,,,,,,,,
strasse_2536,2536,Mitterbergerweg,"Urfahr, Pöstlingberg",Nach dem Objekt Riesenhofstraße 6 etwa in westnordwestlicher Richtung zum gleichnamigen Bauernhaus führend. Benannt 1953 nach diesem Bauernhof.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2536,,,,,,,,,,,
strasse_2537,2537,Mitterwasserweg,Posch,"Von der Schwaigaustraße etwa in nordnordöstlicher Richtung zum Hochwasserschutzdamm der Donau verlaufend. Benannt 1958 nach dem Mitterwasser, dem Abfluß aus dem Weikerlsee.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2537,,,,,,,,,,,
strasse_2538,2538,Mitterweg,Kleinmünchen,Nach dem Objekt Dauphinestraße 83 etwa in südsüdöstlicher Richtung zum Flötzerweg verlaufend. Benannt 1944 nach einem Flurnamen.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2538,,,,,,,,,,,
strasse_2541,2541,Mönchgrabenstraße,Ebelsberg,"Von der Florianer Straße vorerst etwa in östlicher, dann in südöstlicher und wiederum in östlicher bzw. in nordöstlicher Richtung zur Wiener Straße verlaufend. Benannt 1954 nach der gleichnamigen Katastralgemeinde.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2541,,,,,,,,,,,
strasse_3449,3449,Montessoriweg,Pichling,Die von der Oidener Straße in ost-nordöstlicher Richtung verlaufende Verkehrsfläche wird 2012 nach der ehemaligen Reformpädagogin Maria Montessori (1870-1952) benannt.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=3449,,,Maria Montessori,Q131117,,https://www.wikidata.org/wiki/Q131117,Maria Montessori,female,psychologist,1870-08-31,1952-05-06
strasse_2547,2547,Moosfelderstraße,Ufer,"Vom Bahndurchlaß am Ende des Panholzerwegs vorerst etwa in östlicher, dann in nördlicher Richtung zur Neufelderstraße verlaufend. Benannt 1954 nach einem Flurnamen.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2547,,,,,,,,,,,
strasse_2548,2548,Mooslanderweg,"Pichling, Mönchgraben","Von der Wiener Straße gegenüber der Einmündung des Rebhuhnweges vorerst etwa in westsüdwestlicher, dann in südöstlicher Richtung zur Mönchgrabenstraße verlaufend. Benannt 1958 nach einem Flurnamen.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2548,,,,,,,,,,,
strasse_2542,2542,Mörikeweg,Waldegg,Nach dem Objekt Am Bindermichl 63 etwa in ostnordöstlicher Richtung zur Stadlerstraße verlaufend. Benannt 1941 nach dem Dichter Eduard Mörike (1804-1875).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2542,,,Eduard Mörike,Q63699,,https://www.wikidata.org/wiki/Q63699,Eduard Mörike,male,poet,1804-09-08,1875-06-04
strasse_2543,2543,Mörtelbauerweg,Kleinmünchen,Vor dem Objekt Am Steinbühel 3 etwa in südöstlicher Richtung zur Jeggstraße verlaufend. Benannt 1944 nach dem gleichnamigen Bauernhof.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2543,,,,,,,,,,,
strasse_2549,2549,Mostnystraße,Katzbach,"Nach dem Objekt Freistädter Straße 300 vorerst etwa in südsüdöstlicher, dann in östlicher Richtung verlaufende Sackgasse. Benannt 1983 nach dem Urfahrer Gemeinderat und Ehrenbürger Leopold Mostny (1843-1942).",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2549,,,Leopold Mostny,Q105469819,,https://www.wikidata.org/wiki/Q105469819,Leopold Mostny,male,,1843-05-01,1942-10-06
strasse_2544,2544,Möwenweg,Posch,Nach dem Objekt Ziererfeldstraße 35 etwa in südlicher Richtung zum Falterweg verlaufend. Benannt 1958 nach der einheimischen Vogelart.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2544,,,,,,,,,,,
strasse_2550,2550,Mozartstraße,Linz,Nach dem Objekt Landstraße 35b etwa in ostnordöstlicher Richtung zur Eisenhandstraße verlaufend. Benannt 1869 nach dem Komponisten Wolfgang Amadeus Mozart (1756-1791).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2550,Q106861840,https://www.wikidata.org/wiki/Q106861840,Wolfgang Amadeus Mozart,Q254,,https://www.wikidata.org/wiki/Q254,Wolfgang Amadeus Mozart,male,composer,1756-01-27,1791-12-05
